Name,Description,List,Due Date,Labels,Members,ID,Sprint,Módulo,Status,Responsável,Tempo estimado (dias),Tempo utilizado (dias),Data Início,Data Fim,Notas
"Revisão e alinhamento do Documento de Requisitos da Sprint 2 (Estoque, Serviços, Funcionários e Fornecedores)","ID: 1
Sprint: 2
Módulo: Geral
Status no sprint backlog: A INICIAR
Responsável: Equipe
Tempo estimado: 1 dia(s)
Data início: 14/05/2026
Data fim: 14/05/2026",PROXIMAS TAREFAS PREVISTAS A SEREM FEITAS,2026-05-14,"Sprint 2,Geral",Equipe,1,2,Geral,A INICIAR,Equipe,1,,2026-05-14,2026-05-14,
"Refinamento do modelo de dados para Estoque, Serviços, Funcionários e Fornecedores","ID: 2
Sprint: 2
Módulo: Geral
Status no sprint backlog: A INICIAR
Responsável: Allisson / Eduardo
Tempo estimado: 2 dia(s)
Data início: 14/05/2026
Data fim: 15/05/2026",PROXIMAS TAREFAS PREVISTAS A SEREM FEITAS,2026-05-15,"Sprint 2,Geral",Allisson / Eduardo,2,2,Geral,A INICIAR,Allisson / Eduardo,2,,2026-05-14,2026-05-15,
"Ajustes da estrutura base para integrações entre Estoque, Serviços e Fornecedores","ID: 3
Sprint: 2
Módulo: Geral
Status no sprint backlog: A INICIAR
Responsável: Equipe
Tempo estimado: 2 dia(s)
Data início: 16/05/2026
Data fim: 17/05/2026",PROXIMAS TAREFAS PREVISTAS A SEREM FEITAS,2026-05-17,"Sprint 2,Geral",Equipe,3,2,Geral,A INICIAR,Equipe,2,,2026-05-16,2026-05-17,
Construção das classes CRUD e regras de negócio – módulo Controle de Estoque,"ID: 4
Sprint: 2
Módulo: Estoque
Status no sprint backlog: A INICIAR
Responsável: Kauê / Dimitri
Tempo estimado: 3 dia(s)
Data início: 19/05/2026
Data fim: 21/05/2026",PROXIMAS TAREFAS PREVISTAS A SEREM FEITAS,2026-05-21,"Sprint 2,Estoque",Kauê / Dimitri,4,2,Estoque,A INICIAR,Kauê / Dimitri,3,,2026-05-19,2026-05-21,
Codificação das rotas do módulo Controle de Estoque – Back-end (RF016–RF018),"ID: 5
Sprint: 2
Módulo: Estoque
Status no sprint backlog: A INICIAR
Responsável: Allisson / Eduardo
Tempo estimado: 3 dia(s)
Data início: 19/05/2026
Data fim: 21/05/2026",PROXIMAS TAREFAS PREVISTAS A SEREM FEITAS,2026-05-21,"Sprint 2,Estoque",Allisson / Eduardo,5,2,Estoque,A INICIAR,Allisson / Eduardo,3,,2026-05-19,2026-05-21,
Codificação das páginas do módulo Controle de Estoque – Front-end (RF016–RF018),"ID: 6
Sprint: 2
Módulo: Estoque
Status no sprint backlog: A INICIAR
Responsável: Allisson / Eduardo
Tempo estimado: 2 dia(s)
Data início: 22/05/2026
Data fim: 23/05/2026",PROXIMAS TAREFAS PREVISTAS A SEREM FEITAS,2026-05-23,"Sprint 2,Estoque",Allisson / Eduardo,6,2,Estoque,A INICIAR,Allisson / Eduardo,2,,2026-05-22,2026-05-23,
Validação das funcionalidades do módulo Controle de Estoque,"ID: 7
Sprint: 2
Módulo: Funcionários
Status no sprint backlog: A INICIAR
Responsável: Equipe
Tempo estimado: 1 dia(s)
Data início: 24/05/2026
Data fim: 24/05/2026",PROXIMAS TAREFAS PREVISTAS A SEREM FEITAS,2026-05-24,"Sprint 2,Funcionários",Equipe,7,2,Funcionários,A INICIAR,Equipe,1,,2026-05-24,2026-05-24,
Construção das classes CRUD e regras de negócio – módulo Serviços,"ID: 8
Sprint: 2
Módulo: Serviços
Status no sprint backlog: A INICIAR
Responsável: Kauê / Dimitri
Tempo estimado: 3 dia(s)
Data início: 25/05/2026
Data fim: 27/05/2026",PROXIMAS TAREFAS PREVISTAS A SEREM FEITAS,2026-05-27,"Sprint 2,Serviços",Kauê / Dimitri,8,2,Serviços,A INICIAR,Kauê / Dimitri,3,,2026-05-25,2026-05-27,
Codificação das rotas do módulo Serviços – Back-end (RF009–RF012),"ID: 9
Sprint: 2
Módulo: Serviços
Status no sprint backlog: A INICIAR
Responsável: Allisson / Eduardo
Tempo estimado: 3 dia(s)
Data início: 25/05/2026
Data fim: 27/05/2026",PROXIMAS TAREFAS PREVISTAS A SEREM FEITAS,2026-05-27,"Sprint 2,Serviços",Allisson / Eduardo,9,2,Serviços,A INICIAR,Allisson / Eduardo,3,,2026-05-25,2026-05-27,
Codificação das páginas do módulo Serviços – Front-end (RF009–RF012),"ID: 10
Sprint: 2
Módulo: Serviços
Status no sprint backlog: A INICIAR
Responsável: Allisson / Eduardo
Tempo estimado: 2 dia(s)
Data início: 28/05/2026
Data fim: 29/05/2026",PROXIMAS TAREFAS PREVISTAS A SEREM FEITAS,2026-05-29,"Sprint 2,Serviços",Allisson / Eduardo,10,2,Serviços,A INICIAR,Allisson / Eduardo,2,,2026-05-28,2026-05-29,
